TIMESTAMP;SW_BELOW;SW_IN
201407011215;670;979
201407011230;684;981
201407011245;662;975
201407011300;727;968
201407011315;659;956
201407011330;644;941
201407011345;624;922
201407011400;672;902
201407011415;723;881
201407011430;635;853
201407011445;591;827
201407011500;534;811
201407011515;489;766
201408031015;346;658
201408031030;350;663
201408031045;459;760
201408031100;432;736
201408031115;488;827
201408031130;292;558
201408031145;232;457
201408031200;206;415
201408031215;178;361
201408031230;175;349
201408031245;201;404
201408031300;256;493
201408031315;319;639
201408031330;319;635
201408031345;319;606
201408031400;447;778
201408031415;395;722
201408031430;298;579
201408031445;255;496
201408031500;226;442
201408031515;181;371
201408031530;128;277
201408031545;127;272
201408031600;136;282
201408031615;134;279
201408031630;132;275
201408031645;112;240
201408031700;94;203
201408031715;79;175
201408031730;51;128
201408031745;44;106
201408031800;39;86
201408031815;30;71
201408031830;21;54
201408031845;9;31
201408031900;3;18
201408031915;2;11
201408031930;1;3
201408031945;0;0
201408032000;0;0
201408032015;0;0
201408032030;0;0
201408032045;0;0
201408032100;0;0
201408032115;0;0
201408032130;0;0
201408032145;0;0
201408032200;0;0
201408032215;0;0
201408032230;0;0
201408032245;0;0
201408032300;0;0
201408032315;0;0
201408032330;0;0
201408032345;0;0
201408040000;0;0
201408040015;0;0
201408040030;0;0
201408040045;0;0
201408040100;0;0
201408040115;0;0
201408040130;0;0
201408040145;0;0
201408040200;0;0
201408040215;0;0
201408040230;0;0
201408040245;0;0
201408040300;0;0
201408040315;0;0
201408040330;0;0
201408040345;0;0
201408040400;0;0
201408040415;0;0
201408040430;0;0
201408040445;0;0
201408040500;0;0
201408040515;0;0
201408040530;2;3
201408040545;3;11
201408040600;10;24
201408040615;27;54
201408040630;42;91
201408040645;43;100
201408040700;48;114
201408040715;59;130
201408040730;78;158
201408040745;84;167
201408040800;98;201
201408040815;111;236
201408040830;101;220
201408040845;125;255
201408040900;109;244
201408040915;104;229
201408040930;98;224
201408040945;108;236
201408041000;120;249
201408041015;127;261
201408041030;232;427
201408041045;249;475
201408041100;229;431
201408041115;368;711
201408041130;422;854
201408041145;455;867
201408041200;237;464
201408041215;186;381
201408041230;121;262
201408041245;358;629
201408041300;359;655
201408041315;294;535
201408041330;266;508
201408041345;225;441
201408041400;267;498
201408041415;316;602
201408041430;171;342
201408041445;185;366
201408041500;178;352
201408041515;174;353
201408041530;167;330
201408041545;114;245
201408041600;82;177
201408041615;75;164
201408041630;63;144
201408041645;71;152
201408041700;51;123
201408041715;36;82
201408041730;27;58
201408041745;14;40
201408041800;5;24
201408041815;3;14
201408041830;3;12
201408041845;2;8
201408041900;2;5
201408041915;1;1
201408041930;0;0
201408041945;0;0
201408042000;0;0
201408042015;0;0
201408042030;0;0
201408042045;0;0
201408042100;0;0
201408042115;0;0
201408042130;0;0
201408042145;0;0
201408042200;0;0
201408042215;0;0
201408042230;0;0
201408042245;0;0
201408042300;0;0
201408042315;0;0
201408042330;0;0
201408042345;0;0
201408050000;0;0
201408050015;0;0
201408050030;0;0
201408050045;0;0
201408050100;0;0
201408050115;0;0
201408050130;0;0
201408050145;0;0
201408050200;0;0
201408050215;0;0
201408050230;0;0
201408050245;0;0
201408050300;0;0
201408050315;0;0
201408050330;0;0
201408050345;0;0
201408050400;0;0
201408050415;0;0
201408050430;0;0
201408050445;0;0
201408050500;0;0
201408050515;0;0
201408050530;2;2
201408050545;3;10
201408050600;17;35
201408050615;34;62
201408050630;41;81
201408050645;61;124
201408050700;117;224
201408050715;58;131
201408050730;106;193
201408050745;131;243
201408050800;52;123
201408050815;42;102
201408050830;19;48
201408050845;27;62
201408050900;57;122
201408050915;109;215
201408050930;175;329
201408050945;189;363
201408051000;153;318
201408051015;195;376
201408051030;242;455
201408051045;223;429
201408051100;180;359
201408051115;189;367
201408051130;237;440
201408051145;272;506
201408051200;150;316
201408051215;117;262
201408051230;136;280
201408051245;136;275
201408051300;155;306
201408051315;159;321
201408051330;186;337
201408051345;238;451
201408051400;353;660
201408051415;354;718
201408051430;431;855
201408051445;475;791
201408051500;312;661
201408051515;231;441
201408051530;148;300
201408051545;149;294
201408051600;128;262
201408051615;88;183
201408051630;64;139
201408051645;46;115
201408051700;47;113
201408051715;51;123
201408051730;47;110
201408051745;24;57
201408051800;7;27
201408051815;4;16
201408051830;3;13
201408051845;3;10
201408051900;2;4
201408051915;1;1
201408051930;0;0
201408051945;0;0
201408052000;0;0
201408052015;0;0
201408052030;0;0
201408052045;0;0
201408052100;0;0
201408052115;0;0
201408052130;0;0
201408052145;0;0
201408052200;0;0
201408052215;0;0
201408052230;0;0
201408052245;0;0
201408052300;0;0
201408052315;0;0
201408052330;0;0
201408052345;0;0
201408060000;0;0
201408060015;0;0
201408060030;0;0
201408060045;0;0
201408060100;0;0
201408060115;0;0
201408060130;0;0
201408060145;0;0
201408060200;0;0
201408060215;0;0
201408060230;0;0
201408060245;0;0
201408060300;0;0
201408060315;0;0
201408060330;0;0
201408060345;0;0
201408060400;0;0
201408060415;0;0
201408060430;0;0
201408060445;0;0
201408060500;0;0
201408060515;0;0
201408060530;3;10
201408060545;12;31
201408060600;31;68
201408060615;51;123
201408060630;62;166
201408060645;92;198
201408060700;130;248
201408060715;151;289
201408060730;214;339
201408060745;251;386
201408060800;278;430
201408060815;233;379
201408060830;149;296
201408060845;128;277
201408060900;218;379
201408060915;284;461
201408060930;372;561
201408060945;368;590
201408061000;377;713
201408061015;483;745
201408061030;397;648
201408061045;438;806
201408061100;433;854
201408061115;400;826
201408061130;376;787
201408061145;407;804
201408061200;444;870
201408061215;423;868
201408061230;464;862
201408061245;510;834
201408061300;526;870
201408061315;449;737
201408061330;508;843
201408061345;420;834
201408061400;368;704
201408061415;371;737
201408061430;320;643
201408061445;325;572
201408061500;282;573
201408061515;327;608
201408061530;315;548
201408061545;226;415
201408061600;267;468
201408061615;237;438
201408061630;175;357
201408061645;184;349
201408061700;164;326
201408061715;129;263
201408061730;72;169
201408061745;40;94
201408061800;37;87
201408061815;47;121
201408061830;30;73
201408061845;13;42
201408061900;3;18
201408061915;1;4
201408061930;0;0
201408061945;0;0
201408062000;0;0
201408062015;0;0
201408062030;0;0
201408062045;0;0
201408062100;0;0
201408062115;0;0
201408062130;0;0
201408062145;0;0
201408062200;0;0
201408062215;0;0
201408062230;0;0
201408062245;0;0
201408062300;0;0
201408062315;0;0
201408062330;0;0
201408062345;0;0
201408070000;0;0
201408070015;0;0
201408070030;0;0
201408070045;0;0
201408070100;0;0
201408070115;0;0
201408070130;0;0
201408070145;0;0
201408070200;0;0
201408070215;0;0
201408070230;0;0
201408070245;0;0
201408070300;0;0
201408070315;0;0
201408070330;0;0
201408070345;0;0
201408070400;0;0
201408070415;0;0
201408070430;0;0
201408070445;0;0
201408070500;0;0
201408070515;1;1
201408070530;3;9
201408070545;8;28
201408070600;19;54
201408070615;32;86
201408070630;47;122
201408070645;70;160
201408070700;106;200
201408070715;133;240
201408070730;173;281
201408070745;219;327
201408070800;254;373
201408070815;267;425
201408070830;249;478
201408070845;228;526
201408070900;343;570
201408070915;380;611
201408070930;431;649
201408070945;413;685
201408071000;373;716
201408071015;417;751
