TIMESTAMP;SW_BELOW_ROWS;SW_BELOW_ORIG-CLUMPED;SW_BELOW_NON-CLUMPED
201308051630;313.62459324142964;104.18733374003234;179.22489046614982
201308051645;283.9892851079809;83.0236401338027;151.32074550129101
201308051700;239.20219245352007;69.22049837427281;124.90207245206032
201308051715;198.09713007715402;58.58497803986609;101.00914403033454
201308051730;160.02807783162257;49.63777275829648;79.62310567691762
201308051745;123.12383590562769;42.17852815323203;60.97080547182762
201308051800;86.67644438942004;36.13687133811783;45.661950921993494
201308051815;53.70636527641731;29.60168969626187;33.20429493181368
201308051830;22.073441208702242;22.07350167483381;22.84699894707085
201308051845;12.76995006236093;12.769950170486874;12.822506813948223
201308051900;6.388047125432001;6.388047125432001;6.388048911570209
201308051915;1.1918612883930915;1.1918612883930915;1.1918612883930915
201308060530;2.8316725309279516;2.8316725309279516;2.831672695009153
